1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
C,C,C,B,C,O,B,O,O,B,R,G,B,Y,Y,P,O,Y,R,R,G,P,Y,G,P,P,G
C,C,C,B,C,O,B,O,O,B,R,G,B,Y,G,P,O,G,R,R,Y,P,Y,Y,P,P,G
C,C,C,B,C,O,B,O,O,B,R,G,B,R,R,P,O,Y,G,G,G,P,Y,Y,P,P,Y
C,C,C,B,C,O,B,O,O,B,R,R,B,Y,R,P,O,G,Y,Y,G,P,Y,G,P,P,G
C,C,C,B,C,O,B,R,R,B,O,G,B,O,O,P,R,Y,G,G,G,P,Y,Y,P,P,Y
C,C,C,B,C,O,G,O,O,P,Y,Y,B,B,R,G,O,R,P,P,Y,P,B,Y,G,G,R
C,C,C,B,C,O,G,O,O,B,Y,Y,B,P,R,G,O,R,B,P,Y,P,P,Y,G,G,R
C,C,C,B,C,O,G,G,O,P,R,R,B,O,O,B,G,Y,P,P,R,P,Y,Y,B,G,Y
C,C,C,B,C,O,R,R,G,B,O,Y,B,O,O,P,R,G,B,Y,Y,P,Y,G,P,P,G
C,C,C,B,C,Y,O,O,G,P,Y,Y,B,O,Y,B,O,G,P,P,R,P,R,R,B,G,G
C,C,C,B,C,Y,O,O,G,B,Y,Y,B,O,Y,P,O,G,B,R,R,P,R,G,P,P,G
C,C,C,B,C,Y,B,Y,Y,B,O,G,B,O,Y,P,R,R,G,G,G,P,O,O,P,P,R
C,C,C,B,C,Y,B,Y,Y,B,R,G,B,O,Y,P,O,O,R,R,G,P,O,G,P,P,G
C,C,C,B,C,Y,B,Y,Y,B,R,G,B,R,Y,P,O,O,G,G,G,P,R,O,P,P,O
C,C,C,B,C,Y,B,G,G,B,R,O,B,Y,Y,P,Y,G,R,R,O,P,O,O,P,P,G
C,C,C,B,C,Y,G,Y,Y,P,R,R,B,B,Y,G,O,O,P,P,R,P,B,O,G,G,O
C,C,C,B,C,Y,G,Y,Y,B,R,R,B,P,Y,G,O,O,B,P,R,P,P,O,G,G,O
C,C,C,B,C,Y,G,G,Y,P,R,R,B,B,O,G,Y,Y,P,P,R,P,B,O,G,O,O
C,C,C,B,C,Y,G,G,Y,B,R,R,B,P,O,G,Y,Y,B,P,R,P,P,O,G,O,O
C,C,C,B,C,Y,G,G,G,P,Y,Y,B,O,Y,B,O,G,P,P,R,P,R,R,B,O,O
C,C,C,B,C,Y,R,R,G,B,Y,Y,B,O,Y,P,R,G,B,O,O,P,O,G,P,P,G
C,C,C,B,C,G,O,O,G,P,R,R,B,O,Y,B,O,G,P,P,R,P,Y,Y,B,Y,G
C,C,C,B,C,G,O,O,G,B,Y,Y,B,O,Y,P,O,G,B,Y,R,P,R,R,P,P,G
C,C,C,B,C,G,O,O,G,B,Y,R,B,O,R,P,O,G,B,Y,R,P,Y,Y,P,P,G
C,C,C,B,C,G,O,O,G,B,R,Y,B,O,Y,P,O,G,B,R,R,P,Y,Y,P,P,G
C,C,C,B,C,G,B,O,G,B,Y,Y,B,O,O,P,O,G,R,R,Y,P,R,Y,P,P,G
C,C,C,B,C,G,G,G,G,P,O,O,B,O,Y,B,Y,Y,P,P,O,P,R,Y,B,R,R
C,C,C,B,C,G,G,G,G,P,O,O,B,O,Y,B,R,R,P,P,O,P,Y,Y,B,Y,R
C,C,C,B,C,G,G,G,G,P,O,O,B,O,R,B,Y,Y,P,P,O,P,Y,R,B,Y,R
C,C,C,B,C,G,G,G,G,P,Y,Y,B,O,O,B,R,O,P,P,Y,P,R,Y,B,R,O
C,C,C,B,C,G,G,G,G,P,Y,Y,B,O,O,B,R,R,P,P,Y,P,O,Y,B,O,R
C,C,C,B,C,G,G,G,G,P,Y,Y,B,R,R,B,R,O,P,P,Y,P,O,Y,B,O,O
C,C,C,B,C,G,G,G,G,B,O,O,B,Y,O,P,Y,Y,B,R,R,P,R,O,P,P,Y
C,C,C,B,C,G,G,G,G,B,O,O,B,Y,R,P,Y,Y,B,O,R,P,O,R,P,P,Y
C,C,C,B,C,G,G,G,G,B,R,Y,B,Y,Y,P,O,O,B,R,Y,P,R,O,P,P,O
C,C,C,B,C,G,G,G,G,B,R,Y,B,R,R,P,O,O,B,Y,Y,P,Y,O,P,P,O
C,C,C,B,C,G,G,G,G,B,R,R,B,B,Y,P,O,O,B,Y,R,P,Y,O,P,P,O
C,C,C,B,C,G,G,G,G,B,R,R,B,Y,O,P,Y,Y,B,O,R,P,O,O,P,P,Y
C,C,C,B,C,G,R,R,G,P,O,O,B,O,Y,B,R,G,P,P,O,P,Y,Y,B,Y,G
